date,num_of_movies,total_gross
2019-01,161,812849718
2019-02,147,624462229
2019-03,192,962715490
2019-04,200,1034963090
2019-05,200,1077642574
2019-06,193,1149119141
2019-07,190,1288196026
2019-08,200,837628565
2019-09,200,686793771
2019-10,200,781634515
2019-11,189,959213976
2019-12,167,1148160515
2020-01,146,897742569
2020-02,158,638097308
2020-03,144,253334028
2020-04,6,52015
2020-05,13,995838
2020-06,22,3677627
2020-07,45,7806635
2020-08,50,32316928
2020-09,62,86031381
2020-10,84,63361603
2020-11,86,62738998
2020-12,65,67691870
2021-01,55,65138132
2021-02,61,57746920
2021-03,64,113597962
2021-04,79,195097683
2021-05,83,214709870
2021-06,85,401276723
2021-07,91,582543500
2021-08,94,417701047
2021-09,93,367172835
2021-10,93,623287457
2021-11,85,522746319
2021-12,99,920897027
2022-01,64,389522163
2022-02,77,365520847
2022-03,91,578309317
2022-04,58,218358967
